,0,1,2,3,4,5,6,7
0,26,5,0,4,1,0,1,1
1,6,16,5,4,0,1,4,2
2,2,2,26,3,0,0,3,2
3,4,6,4,16,0,4,4,1
4,0,4,0,0,3,1,3,8
5,0,8,4,8,0,10,1,8
6,1,2,8,2,0,1,24,0
7,0,2,2,1,2,4,0,28
