,0,1,2,3,4,5,6,7
0,20,2,1,3,0,0,0,0
1,0,7,1,0,0,0,1,0
2,1,0,11,1,0,0,1,0
3,7,0,0,7,0,0,0,0
4,0,0,0,1,11,0,4,0
5,0,0,0,0,0,12,0,0
6,0,0,0,0,0,0,0,0
7,0,0,1,0,1,0,14,0
