,0,1,2,3,4,5,6
0,173,8,3,13,0,0,3
1,31,117,6,21,5,4,16
2,4,7,167,1,3,5,13
3,7,9,4,152,6,11,11
4,1,0,2,0,190,7,0
5,1,4,16,8,22,143,6
6,18,8,8,7,4,0,155
