,0,1,2,3,4,5,6,7
0,26,6,0,2,0,1,3,0
1,4,17,3,3,0,5,2,4
2,4,2,20,4,0,3,4,1
3,2,3,3,20,1,5,4,1
4,1,2,1,1,4,1,3,6
5,0,4,4,7,0,14,5,5
6,4,5,4,1,1,3,20,0
7,1,2,1,0,1,3,2,29
