,0,1,2,3,4,5,6,7
0,33,6,0,3,0,1,1,0
1,2,22,1,2,1,0,3,1
2,0,1,29,2,0,5,2,1
3,0,2,1,25,0,6,3,0
4,0,1,0,1,11,2,0,3
5,0,3,1,3,2,16,3,2
6,2,1,4,1,3,3,26,0
7,1,2,2,2,2,6,0,32
