,0,1,2,3,4,5,6
0,185,6,0,3,0,0,6
1,15,162,2,7,4,0,10
2,4,2,177,2,2,5,8
3,2,8,4,173,2,4,7
4,0,1,3,1,190,4,1
5,1,2,6,4,9,174,4
6,9,11,8,7,0,2,163
