,0,1,2,3,4,5,6,7
0,33,1,0,1,0,1,1,1
1,8,20,3,0,1,1,4,1
2,1,0,31,1,1,0,3,1
3,4,2,1,22,4,5,1,0
4,2,0,0,0,10,2,3,2
5,3,0,6,6,1,16,3,4
6,0,0,4,2,1,1,30,0
7,0,0,1,1,3,2,0,32
