,0,1,2,3,4,5,6
0,169,12,3,11,3,0,2
1,31,119,5,16,4,5,20
2,3,4,158,4,5,6,20
3,3,10,3,162,7,6,9
4,1,2,3,2,189,3,0
5,1,4,16,8,25,141,5
6,14,13,5,9,2,1,156
