,0,1,2,3,4,5,6,7
0,30,6,2,4,0,2,2,0
1,2,21,3,5,1,3,5,1
2,0,2,22,2,0,4,3,1
3,2,2,1,17,0,5,3,0
4,0,0,0,0,12,2,4,1
5,1,2,2,5,0,14,2,4
6,3,2,6,2,4,2,17,0
7,0,3,2,4,2,7,2,32
