,0,1,2,3,4,5,6
0,14,1,1,0,0,0,0
1,0,10,2,1,3,0,1
2,0,1,13,0,0,0,3
3,0,2,0,12,1,0,2
4,2,0,0,1,14,0,0
5,0,1,0,0,2,13,1
6,0,3,1,2,1,1,9
