,0,1,2,3,4,5,6
0,12,2,2,0,0,0,0
1,1,10,3,1,2,0,0
2,0,3,11,0,1,1,1
3,0,3,0,8,2,0,4
4,1,0,0,1,15,0,0
5,0,0,1,0,0,15,1
6,1,2,2,4,0,1,7
