,0,1,2,3,4,5,6
0,14,1,1,0,0,0,0
1,1,10,2,1,3,0,0
2,0,2,11,1,0,0,3
3,0,1,0,13,1,0,2
4,2,0,0,0,15,0,0
5,0,0,1,0,0,14,2
6,0,3,1,3,1,1,8
