,0,1,2,3,4,5,6
0,179,0,1,24,6,2,0
1,0,0,0,0,0,0,0
2,4,0,0,1,2,0,0
3,12,0,9,13,5,1,0
4,20,0,1,177,7,1,0
5,16,0,1,27,45,1,0
6,12,1,2,13,5,12,0
