,0,1,2,3,4,5,6
0,24,3,4,5,0,0,0
1,0,3,0,0,0,0,1
2,1,2,6,0,1,0,2
3,1,1,1,9,0,0,0
4,0,0,2,0,9,1,4
5,0,0,1,0,0,11,0
6,0,0,0,0,6,0,9
