,0,1,2,3,4,5,6
0,173,10,2,8,0,1,6
1,8,154,4,19,2,3,10
2,1,0,174,5,1,5,14
3,2,8,3,169,4,4,10
4,0,1,1,2,188,6,2
5,0,1,7,4,10,171,7
6,3,14,10,5,1,4,163
