,0,1,2,3,4,5,6
0,25,1,0,0,0,0,0
1,1,4,1,1,0,0,2
2,3,0,9,1,0,1,0
3,9,0,0,5,0,0,0
4,0,0,2,2,10,0,2
5,0,0,0,0,2,10,0
6,3,0,1,0,0,1,11
