,0,1,2,3,4,5,6,7
0,34,7,0,3,1,1,1,0
1,1,23,0,3,1,2,4,1
2,0,2,30,3,0,4,3,0
3,0,1,1,23,0,6,2,0
4,0,1,1,2,13,2,1,5
5,0,0,0,3,1,15,1,2
6,2,2,4,0,2,3,26,0
7,1,2,2,2,1,6,0,31
