,precision,recall,f1-score,support
0,0.7912621359223301,0.815,0.8029556650246306,200.0
1,0.6988636363636364,0.615,0.6542553191489361,200.0
2,0.798941798941799,0.755,0.7763496143958869,200.0
3,0.7355769230769231,0.765,0.7500000000000001,200.0
4,0.8,0.9,0.8470588235294118,200.0
5,0.7921348314606742,0.705,0.7460317460317462,200.0
6,0.6788990825688074,0.74,0.7081339712918661,200.0
accuracy,0.7564285714285715,0.7564285714285715,0.7564285714285715,0.7564285714285715
macro avg,0.7565254869048814,0.7564285714285715,0.7549693056317824,1400.0
weighted avg,0.7565254869048814,0.7564285714285715,0.7549693056317826,1400.0
