,precision,recall,f1-score,support
0,0.7692307692307693,0.85,0.8076009501187649,200.0
1,0.7453416149068323,0.6,0.6648199445983379,200.0
2,0.837696335078534,0.8,0.8184143222506394,200.0
3,0.7168949771689498,0.785,0.7494033412887828,200.0
4,0.8111587982832618,0.945,0.8729792147806004,200.0
5,0.8963414634146342,0.735,0.8076923076923077,200.0
6,0.7298578199052133,0.77,0.7493917274939172,200.0
accuracy,0.7835714285714286,0.7835714285714286,0.7835714285714286,0.7835714285714286
macro avg,0.7866459682840278,0.7835714285714285,0.7814716868890501,1400.0
weighted avg,0.7866459682840277,0.7835714285714286,0.7814716868890501,1400.0
