,precision,recall,f1-score,support
0,0.62,0.8157894736842105,0.7045454545454546,38.0
1,0.6896551724137931,0.5263157894736842,0.5970149253731344,38.0
2,0.6744186046511628,0.7631578947368421,0.7160493827160495,38.0
3,0.6666666666666666,0.5641025641025641,0.611111111111111,39.0
4,0.45,0.47368421052631576,0.46153846153846156,19.0
5,0.5666666666666667,0.4358974358974359,0.4927536231884058,39.0
6,0.6976744186046512,0.7894736842105263,0.7407407407407408,38.0
7,0.8,0.8205128205128205,0.810126582278481,39.0
accuracy,0.6597222222222222,0.6597222222222222,0.6597222222222222,0.6597222222222222
macro avg,0.6456351911253676,0.64861673414305,0.6417350351864799,288.0
weighted avg,0.6588764980397398,0.6597222222222222,0.6535840668195733,288.0
