,precision,recall,f1-score,support
0,0.9064039408866995,0.92,0.913151364764268,200.0
1,0.865,0.865,0.865,200.0
2,0.9343434343434344,0.925,0.9296482412060301,200.0
3,0.915,0.915,0.915,200.0
4,0.9375,0.975,0.9558823529411764,200.0
5,0.9521276595744681,0.895,0.9226804123711341,200.0
6,0.8719211822660099,0.885,0.8784119106699751,200.0
accuracy,0.9114285714285715,0.9114285714285715,0.9114285714285715,0.9114285714285715
macro avg,0.9117566024386587,0.9114285714285713,0.9113963259932262,1400.0
weighted avg,0.9117566024386587,0.9114285714285715,0.9113963259932263,1400.0
