,precision,recall,f1-score,support
0,0.7142857142857143,0.7692307692307693,0.7407407407407408,26.0
1,0.7777777777777778,0.7777777777777778,0.7777777777777778,9.0
2,0.7857142857142857,0.7857142857142857,0.7857142857142857,14.0
3,0.5833333333333334,0.5,0.5384615384615384,14.0
4,0.9166666666666666,0.6875,0.7857142857142857,16.0
5,1.0,1.0,1.0,12.0
6,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,16.0
accuracy,0.6355140186915887,0.6355140186915887,0.6355140186915887,0.6355140186915887
macro avg,0.5972222222222222,0.565027854090354,0.5785510785510786,107.0
weighted avg,0.6673342234089897,0.6355140186915887,0.6483098071883119,107.0
