,precision,recall,f1-score,support
0,0.6885964912280702,0.785,0.7336448598130841,200.0
1,0.6257668711656442,0.51,0.5619834710743802,200.0
2,0.7241379310344828,0.735,0.729528535980149,200.0
3,0.6699507389162561,0.68,0.674937965260546,200.0
4,0.7615062761506276,0.91,0.8291571753986332,200.0
5,0.7245508982035929,0.605,0.6594005449591281,200.0
6,0.649746192893401,0.64,0.6448362720403024,200.0
accuracy,0.695,0.695,0.695,0.695
macro avg,0.6920364856560106,0.695,0.690498403503746,1400.0
weighted avg,0.6920364856560107,0.695,0.6904984035037462,1400.0
