,precision,recall,f1-score,support
0,0.6,0.9230769230769231,0.7272727272727274,26.0
1,0.6666666666666666,0.2222222222222222,0.3333333333333333,9.0
2,0.5625,0.6428571428571429,0.6000000000000001,14.0
3,0.625,0.35714285714285715,0.45454545454545453,14.0
4,0.8461538461538461,0.6875,0.7586206896551724,16.0
5,1.0,0.75,0.8571428571428571,12.0
8,0.6111111111111112,0.6875,0.6470588235294118,16.0
accuracy,0.6635514018691588,0.6635514018691588,0.6635514018691588,0.6635514018691588
macro avg,0.701633089133089,0.610042735042735,0.6254248407827081,107.0
weighted avg,0.6873013020209282,0.6635514018691588,0.6490590071906066,107.0
