,precision,recall,f1-score,support
0,0.8125,0.8125,0.8125,16.0
1,0.5,0.47058823529411764,0.48484848484848486,17.0
2,0.46153846153846156,0.35294117647058826,0.4000000000000001,17.0
3,0.6842105263157895,0.7647058823529411,0.7222222222222222,17.0
4,0.7727272727272727,1.0,0.8717948717948718,17.0
5,0.7368421052631579,0.8235294117647058,0.7777777777777778,17.0
6,0.6153846153846154,0.47058823529411764,0.5333333333333333,17.0
accuracy,0.6694915254237288,0.6694915254237288,0.6694915254237288,0.6694915254237288
macro avg,0.6547432830327568,0.6706932773109244,0.65749666999667,118.0
weighted avg,0.6534063617025259,0.6694915254237288,0.6561830824542688,118.0
