,precision,recall,f1-score,support
0,0.7612612612612613,0.845,0.8009478672985783,200.0
1,0.725609756097561,0.595,0.6538461538461539,200.0
2,0.8186528497409327,0.79,0.8040712468193384,200.0
3,0.7641509433962265,0.81,0.7864077669902914,200.0
4,0.8042553191489362,0.945,0.8689655172413794,200.0
5,0.8703703703703703,0.705,0.7790055248618785,200.0
6,0.7358490566037735,0.78,0.7572815533980584,200.0
accuracy,0.7814285714285715,0.7814285714285715,0.7814285714285715,0.7814285714285715
macro avg,0.7828785080884373,0.7814285714285714,0.7786465186365253,1400.0
weighted avg,0.7828785080884373,0.7814285714285715,0.7786465186365255,1400.0
