,precision,recall,f1-score,support
0,0.8867924528301887,0.94,0.912621359223301,200.0
1,0.8848167539267016,0.845,0.8644501278772379,200.0
2,0.9179487179487179,0.895,0.9063291139240507,200.0
3,0.9207920792079208,0.93,0.9253731343283582,200.0
4,0.9186602870813397,0.96,0.9388753056234719,200.0
5,0.9222797927461139,0.89,0.905852417302799,200.0
6,0.8484848484848485,0.84,0.8442211055276383,200.0
accuracy,0.9,0.9,0.9,0.9
macro avg,0.899967847460833,0.9,0.899674651972408,1400.0
weighted avg,0.899967847460833,0.9,0.8996746519724079,1400.0
