,precision,recall,f1-score,support
0,0.875,0.875,0.875,16.0
1,0.5555555555555556,0.5882352941176471,0.5714285714285715,17.0
2,0.6,0.35294117647058826,0.4444444444444445,17.0
3,0.625,0.5882352941176471,0.6060606060606061,17.0
4,0.7142857142857143,0.8823529411764706,0.7894736842105262,17.0
5,0.8235294117647058,0.8235294117647058,0.8235294117647058,17.0
6,0.45,0.5294117647058824,0.48648648648648646,17.0
accuracy,0.6610169491525424,0.6610169491525424,0.6610169491525424,0.6610169491525424
macro avg,0.6633386688008537,0.6628151260504201,0.6566318863421916,118.0
weighted avg,0.6615449287059457,0.6610169491525424,0.6547813091078033,118.0
