,precision,recall,f1-score,support
0,0.5681818181818182,0.9615384615384616,0.7142857142857143,26.0
1,0.6666666666666666,0.2222222222222222,0.3333333333333333,9.0
2,0.75,0.42857142857142855,0.5454545454545454,14.0
3,0.8,0.2857142857142857,0.4210526315789473,14.0
4,0.6666666666666666,0.875,0.7567567567567567,16.0
5,0.7692307692307693,0.8333333333333334,0.8,12.0
8,0.7692307692307693,0.625,0.6896551724137931,16.0
accuracy,0.6635514018691588,0.6635514018691588,0.6635514018691588,0.6635514018691588
macro avg,0.7128538128538129,0.604482818768533,0.6086483076890128,107.0
weighted avg,0.697923882970612,0.6635514018691588,0.6340665412768809,107.0
