,precision,recall,f1-score,support
0,0.6954887218045113,0.8726415094339622,0.7740585774058577,212.0
2,0.0,0.0,0.0,7.0
3,0.0,0.0,0.0,40.0
4,0.6872586872586872,0.8640776699029126,0.7655913978494623,206.0
5,0.5970149253731343,0.4444444444444444,0.5095541401273885,90.0
6,0.8,0.08888888888888889,0.15999999999999998,45.0
accuracy,0.6783333333333333,0.6783333333333333,0.6783333333333333,0.6783333333333333
macro avg,0.46329372240605543,0.3783420854450347,0.3682006858971181,600.0
weighted avg,0.6312504031357133,0.6783333333333333,0.6247868649641601,600.0
