,precision,recall,f1-score,support
0,0.84,0.8076923076923077,0.8235294117647058,26.0
1,0.7,0.7777777777777778,0.7368421052631577,9.0
2,0.8666666666666667,0.9285714285714286,0.896551724137931,14.0
3,0.75,0.6428571428571429,0.6923076923076924,14.0
4,0.9285714285714286,0.8125,0.8666666666666666,16.0
5,1.0,1.0,1.0,12.0
8,0.7368421052631579,0.875,0.7999999999999999,16.0
accuracy,0.8317757009345794,0.8317757009345794,0.8317757009345794,0.8317757009345794
macro avg,0.8317257429287503,0.8349140938426652,0.8308425143057362,107.0
weighted avg,0.8357004661185674,0.8317757009345794,0.8313461883192164,107.0
