,precision,recall,f1-score,support
0,0.8846153846153846,0.8846153846153846,0.8846153846153846,26.0
1,1.0,0.8888888888888888,0.9411764705882353,9.0
2,0.8461538461538461,0.7857142857142857,0.8148148148148148,14.0
3,0.75,0.8571428571428571,0.7999999999999999,14.0
4,0.8666666666666667,0.8125,0.8387096774193549,16.0
5,1.0,1.0,1.0,12.0
6,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,16.0
accuracy,0.7383177570093458,0.7383177570093458,0.7383177570093458,0.7383177570093458
macro avg,0.6684294871794871,0.6536076770451771,0.6599145434297237,107.0
weighted avg,0.7496525281572011,0.7383177570093458,0.7429658923496374,107.0
