,precision,recall,f1-score,support
0,0.65625,0.8076923076923077,0.7241379310344829,26.0
1,0.7142857142857143,0.5555555555555556,0.6250000000000001,9.0
2,0.7272727272727273,0.5714285714285714,0.64,14.0
3,0.7272727272727273,0.5714285714285714,0.64,14.0
4,0.47368421052631576,0.5625,0.5142857142857142,16.0
5,0.9,0.75,0.8181818181818182,12.0
8,0.5294117647058824,0.5625,0.5454545454545455,16.0
accuracy,0.6448598130841121,0.6448598130841121,0.6448598130841121,0.6448598130841121
macro avg,0.6754538777233383,0.6258721437292866,0.6438657155652231,107.0
weighted avg,0.660787321457224,0.6448598130841121,0.6462300203824536,107.0
