,precision,recall,f1-score,support
0,0.625,0.7692307692307693,0.6896551724137931,26.0
1,0.5,0.2222222222222222,0.30769230769230765,9.0
2,0.5714285714285714,0.2857142857142857,0.38095238095238093,14.0
3,0.5384615384615384,0.5,0.5185185185185186,14.0
4,0.5454545454545454,0.75,0.631578947368421,16.0
5,0.6153846153846154,0.6666666666666666,0.64,12.0
8,0.4375,0.4375,0.4375,16.0
accuracy,0.5607476635514018,0.5607476635514018,0.5607476635514018,0.5607476635514018
macro avg,0.5476041815327529,0.5187619919762777,0.5151281895636316,107.0
weighted avg,0.555143454676165,0.5607476635514018,0.5427861775932404,107.0
