,precision,recall,f1-score,support
0,0.7844036697247706,0.855,0.8181818181818182,200.0
1,0.7231638418079096,0.64,0.6790450928381963,200.0
2,0.7868020304568528,0.775,0.7808564231738037,200.0
3,0.7475728155339806,0.77,0.7586206896551724,200.0
4,0.7836734693877551,0.96,0.8629213483146067,200.0
5,0.8888888888888888,0.68,0.7705382436260623,200.0
6,0.7745098039215687,0.79,0.7821782178217823,200.0
accuracy,0.7814285714285715,0.7814285714285715,0.7814285714285715,0.7814285714285715
macro avg,0.784144931388818,0.7814285714285714,0.778905976230206,1400.0
weighted avg,0.7841449313888181,0.7814285714285715,0.7789059762302059,1400.0
