,precision,recall,f1-score,support
0,0.875,0.875,0.875,16.0
1,0.6666666666666666,0.5882352941176471,0.625,17.0
2,0.8,0.7058823529411765,0.7500000000000001,17.0
3,0.7777777777777778,0.8235294117647058,0.7999999999999999,17.0
4,1.0,1.0,1.0,17.0
5,0.8823529411764706,0.8823529411764706,0.8823529411764706,17.0
6,0.65,0.7647058823529411,0.7027027027027027,17.0
accuracy,0.8050847457627118,0.8050847457627118,0.8050847457627118,0.8050847457627118
macro avg,0.8073996265172736,0.805672268907563,0.805007949125596,118.0
weighted avg,0.8068267419962336,0.8050847457627118,0.8044147961520843,118.0
