,precision,recall,f1-score,support
0,0.7522123893805309,0.85,0.7981220657276995,200.0
1,0.7428571428571429,0.65,0.6933333333333334,200.0
2,0.8494623655913979,0.79,0.8186528497409327,200.0
3,0.7534883720930232,0.81,0.7807228915662651,200.0
4,0.8558558558558559,0.95,0.9004739336492892,200.0
5,0.8786127167630058,0.76,0.8150134048257373,200.0
6,0.7635467980295566,0.775,0.7692307692307692,200.0
accuracy,0.7978571428571428,0.7978571428571428,0.7978571428571428,0.7978571428571428
macro avg,0.7994336629386449,0.7978571428571428,0.7965070354391466,1400.0
weighted avg,0.7994336629386446,0.7978571428571428,0.7965070354391466,1400.0
