,precision,recall,f1-score,support
0,0.6872586872586872,0.839622641509434,0.7558386411889598,212.0
2,0.0,0.0,0.0,7.0
3,0.6666666666666666,0.1,0.1739130434782609,40.0
4,0.6730769230769231,0.8495145631067961,0.7510729613733904,206.0
5,0.6285714285714286,0.4888888888888889,0.5499999999999999,90.0
6,0.8,0.08888888888888889,0.15999999999999998,45.0
accuracy,0.675,0.675,0.675,0.675
macro avg,0.5759289509289509,0.3944858303990013,0.39847077434010186,600.0
weighted avg,0.6726513051513051,0.675,0.6310255728568471,600.0
