,precision,recall,f1-score,support
0,0.7877358490566038,0.835,0.8106796116504854,200.0
1,0.6108374384236454,0.62,0.6153846153846154,200.0
2,0.722488038277512,0.755,0.7383863080684597,200.0
3,0.7263681592039801,0.73,0.7281795511221945,200.0
4,0.8356807511737089,0.89,0.8619854721549637,200.0
5,0.7810650887573964,0.66,0.7154471544715447,200.0
6,0.6787564766839378,0.655,0.6666666666666666,200.0
accuracy,0.735,0.735,0.735,0.735
macro avg,0.7347045430823977,0.7350000000000001,0.7338184827884187,1400.0
weighted avg,0.7347045430823977,0.735,0.7338184827884185,1400.0
