,precision,recall,f1-score,support
0,0.7456140350877193,0.85,0.7943925233644861,200.0
1,0.7678571428571429,0.645,0.7010869565217392,200.0
2,0.8128342245989305,0.76,0.785529715762274,200.0
3,0.751219512195122,0.77,0.760493827160494,200.0
4,0.8008474576271186,0.945,0.8669724770642202,200.0
5,0.8448275862068966,0.735,0.786096256684492,200.0
6,0.7376237623762376,0.745,0.7412935323383085,200.0
accuracy,0.7785714285714286,0.7785714285714286,0.7785714285714286,0.7785714285714286
macro avg,0.7801176744213096,0.7785714285714286,0.776552184128002,1400.0
weighted avg,0.7801176744213096,0.7785714285714286,0.7765521841280021,1400.0
