,precision,recall,f1-score,support
0,0.8656716417910447,0.87,0.8678304239401496,200.0
1,0.7317073170731707,0.75,0.7407407407407408,200.0
2,0.819047619047619,0.86,0.8390243902439023,200.0
3,0.8258706467661692,0.83,0.827930174563591,200.0
4,0.9223300970873787,0.95,0.9359605911330049,200.0
5,0.8677248677248677,0.82,0.8431876606683804,200.0
6,0.7978723404255319,0.75,0.7731958762886597,200.0
accuracy,0.8328571428571429,0.8328571428571429,0.8328571428571429,0.8328571428571429
macro avg,0.8328892185593973,0.8328571428571429,0.8325528367969184,1400.0
weighted avg,0.8328892185593975,0.8328571428571429,0.8325528367969184,1400.0
