,precision,recall,f1-score,support
0,0.9253731343283582,0.93,0.9276807980049875,200.0
1,0.8783068783068783,0.83,0.8534704370179949,200.0
2,0.9141414141414141,0.905,0.9095477386934674,200.0
3,0.905940594059406,0.915,0.9104477611940299,200.0
4,0.92018779342723,0.98,0.9491525423728814,200.0
5,0.9354838709677419,0.87,0.9015544041450777,200.0
6,0.8483412322274881,0.895,0.8710462287104622,200.0
accuracy,0.9035714285714286,0.9035714285714286,0.9035714285714286,0.9035714285714286
macro avg,0.9039678453512165,0.9035714285714287,0.9032714157341287,1400.0
weighted avg,0.9039678453512167,0.9035714285714286,0.9032714157341286,1400.0
