,precision,recall,f1-score,support
0,0.7666666666666667,0.8846153846153846,0.8214285714285715,26.0
1,0.875,0.7777777777777778,0.823529411764706,9.0
2,0.8125,0.9285714285714286,0.8666666666666666,14.0
3,0.5833333333333334,0.5,0.5384615384615384,14.0
4,0.9166666666666666,0.6875,0.7857142857142857,16.0
5,1.0,0.9166666666666666,0.9565217391304348,12.0
8,0.7222222222222222,0.8125,0.7647058823529411,16.0
accuracy,0.794392523364486,0.794392523364486,0.794392523364486,0.794392523364486
macro avg,0.8109126984126984,0.786804465375894,0.7938611565027348,107.0
weighted avg,0.7997403946002078,0.794392523364486,0.7918288410603825,107.0
