,precision,recall,f1-score,support
0,0.75,0.8076923076923077,0.7777777777777779,26.0
1,0.7777777777777778,0.7777777777777778,0.7777777777777778,9.0
2,0.9166666666666666,0.7857142857142857,0.8461538461538461,14.0
3,0.5,0.5,0.5,14.0
4,0.8666666666666667,0.8125,0.8387096774193549,16.0
5,1.0,1.0,1.0,12.0
8,0.8235294117647058,0.875,0.8484848484848485,16.0
accuracy,0.794392523364486,0.794392523364486,0.794392523364486,0.794392523364486
macro avg,0.8049486461251166,0.7940977673120531,0.7984148468019436,107.0
weighted avg,0.7979109400769652,0.794392523364486,0.7949858736714329,107.0
