,precision,recall,f1-score,support
0,0.759090909090909,0.835,0.7952380952380953,200.0
1,0.7570621468926554,0.67,0.7108753315649868,200.0
2,0.8247422680412371,0.8,0.8121827411167513,200.0
3,0.7864077669902912,0.81,0.7980295566502462,200.0
4,0.84375,0.945,0.8915094339622641,200.0
5,0.9259259259259259,0.75,0.8287292817679557,200.0
6,0.7327188940092166,0.795,0.7625899280575541,200.0
accuracy,0.8007142857142857,0.8007142857142857,0.8007142857142857,0.8007142857142857
macro avg,0.8042425587071763,0.8007142857142856,0.7998791954796935,1400.0
weighted avg,0.8042425587071765,0.8007142857142857,0.7998791954796934,1400.0
