,precision,recall,f1-score,support
0,0.7368421052631579,0.875,0.7999999999999999,16.0
1,0.5263157894736842,0.5882352941176471,0.5555555555555555,17.0
2,0.7777777777777778,0.8235294117647058,0.7999999999999999,17.0
3,0.7333333333333333,0.6470588235294118,0.6875,17.0
4,0.6190476190476191,0.7647058823529411,0.6842105263157895,17.0
5,1.0,0.8235294117647058,0.9032258064516129,17.0
6,0.75,0.5294117647058824,0.6206896551724139,17.0
accuracy,0.7203389830508474,0.7203389830508474,0.7203389830508474,0.7203389830508474
macro avg,0.7347595178422246,0.7216386554621849,0.7215973633564816,118.0
weighted avg,0.7347418687962844,0.7203389830508474,0.720932934232384,118.0
