,precision,recall,f1-score,support
0,0.756198347107438,0.8632075471698113,0.8061674008810572,212.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,7.0
3,0.048,0.3,0.08275862068965517,40.0
4,0.1111111111111111,0.038834951456310676,0.05755395683453238,206.0
5,0.15,0.03333333333333333,0.05454545454545455,90.0
6,0.0,0.0,0.0,45.0
accuracy,0.3433333333333333,0.3433333333333333,0.3433333333333333,0.3433333333333333
macro avg,0.15218706545979274,0.17648226170849363,0.14300363327867133,600.0
weighted avg,0.3310382307927762,0.3433333333333333,0.3183050663856249,600.0
