,precision,recall,f1-score,support
0,0.5641025641025641,0.8461538461538461,0.676923076923077,26.0
1,0.4,0.2222222222222222,0.2857142857142857,9.0
2,0.5,0.35714285714285715,0.41666666666666663,14.0
3,0.3,0.21428571428571427,0.25,14.0
4,0.7333333333333333,0.6875,0.7096774193548386,16.0
5,0.9090909090909091,0.8333333333333334,0.8695652173913043,12.0
8,0.7647058823529411,0.8125,0.787878787878788,16.0
accuracy,0.616822429906542,0.616822429906542,0.616822429906542,0.616822429906542
macro avg,0.5958903841256783,0.5675911390197105,0.5709179219898515,107.0
weighted avg,0.6013493927732521,0.616822429906542,0.5972004096186503,107.0
