,precision,recall,f1-score,support
0,0.8518518518518519,0.8846153846153846,0.8679245283018868,26.0
1,0.7777777777777778,0.7777777777777778,0.7777777777777778,9.0
2,0.8461538461538461,0.7857142857142857,0.8148148148148148,14.0
3,0.9166666666666666,0.7857142857142857,0.8461538461538461,14.0
4,0.9230769230769231,0.75,0.8275862068965517,16.0
5,0.9230769230769231,1.0,0.9600000000000001,12.0
6,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,16.0
accuracy,0.7102803738317757,0.7102803738317757,0.7102803738317757,0.7102803738317757
macro avg,0.6548254985754987,0.6229777167277167,0.6367821467431096,107.0
weighted avg,0.7446148520914876,0.7102803738317757,0.7250558719603285,107.0
