,precision,recall,f1-score,support
0,0.6,0.8076923076923077,0.6885245901639345,26.0
1,0.5,0.1111111111111111,0.1818181818181818,9.0
2,0.5,0.6428571428571429,0.5625000000000001,14.0
3,0.5454545454545454,0.42857142857142855,0.4799999999999999,14.0
4,0.5833333333333334,0.4375,0.5,16.0
5,1.0,0.75,0.8571428571428571,12.0
8,0.6,0.75,0.6666666666666665,16.0
accuracy,0.6074766355140186,0.6074766355140186,0.6074766355140186,0.6074766355140186
macro avg,0.6183982683982684,0.5611045700331415,0.5623788993988057,107.0
weighted avg,0.6137354856981025,0.6074766355140186,0.5895830274112792,107.0
