,precision,recall,f1-score,support
0,0.935,0.935,0.935,200.0
1,0.8936170212765957,0.84,0.8659793814432989,200.0
2,0.9390862944162437,0.925,0.9319899244332494,200.0
3,0.9170731707317074,0.94,0.9283950617283951,200.0
4,0.9380952380952381,0.985,0.9609756097560974,200.0
5,0.956989247311828,0.89,0.922279792746114,200.0
6,0.8691588785046729,0.93,0.8985507246376813,200.0
accuracy,0.9207142857142857,0.9207142857142857,0.9207142857142857,0.9207142857142857
macro avg,0.9212885500480408,0.9207142857142856,0.9204529278206909,1400.0
weighted avg,0.9212885500480408,0.9207142857142857,0.9204529278206909,1400.0
