,precision,recall,f1-score,support
0,0.7586206896551724,0.8461538461538461,0.8,26.0
1,0.7777777777777778,0.7777777777777778,0.7777777777777778,9.0
2,0.8125,0.9285714285714286,0.8666666666666666,14.0
3,0.6,0.42857142857142855,0.5,14.0
4,0.8666666666666667,0.8125,0.8387096774193549,16.0
5,1.0,1.0,1.0,12.0
6,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,16.0
accuracy,0.6822429906542056,0.6822429906542056,0.6822429906542056,0.6822429906542056
macro avg,0.6019456417624521,0.5991968101343101,0.597894265232975,107.0
weighted avg,0.676315930819637,0.6822429906542056,0.6761933474022712,107.0
