,precision,recall,f1-score,support
0,0.6857142857142857,0.9230769230769231,0.7868852459016394,26.0
1,1.0,0.3333333333333333,0.5,9.0
2,0.7272727272727273,0.5714285714285714,0.64,14.0
3,0.7777777777777778,0.5,0.6086956521739131,14.0
4,0.5789473684210527,0.6875,0.6285714285714286,16.0
5,0.8571428571428571,1.0,0.923076923076923,12.0
8,0.5625,0.5625,0.5625,16.0
accuracy,0.6915887850467289,0.6915887850467289,0.6915887850467289,0.6915887850467289
macro avg,0.7413364309041001,0.6539769754055468,0.6642470356748434,107.0
weighted avg,0.7144686979413983,0.6915887850467289,0.6782693594200313,107.0
