,precision,recall,f1-score,support
0,0.5555555555555556,0.9615384615384616,0.7042253521126761,26.0
1,0.75,0.3333333333333333,0.46153846153846156,9.0
2,0.75,0.6428571428571429,0.6923076923076924,14.0
3,0.75,0.21428571428571427,0.3333333333333333,14.0
4,0.7058823529411765,0.75,0.7272727272727272,16.0
5,1.0,0.75,0.8571428571428571,12.0
8,0.75,0.75,0.75,16.0
accuracy,0.6822429906542056,0.6822429906542056,0.6822429906542056,0.6822429906542056
macro avg,0.7516339869281046,0.6288592360020931,0.6465457748153925,107.0
weighted avg,0.7241921690794698,0.6822429906542056,0.6611659587834392,107.0
