,precision,recall,f1-score,support
0,0.7222222222222222,0.8125,0.7647058823529411,16.0
1,0.5384615384615384,0.4117647058823529,0.4666666666666667,17.0
2,0.5333333333333333,0.47058823529411764,0.5,17.0
3,0.625,0.5882352941176471,0.6060606060606061,17.0
4,0.7619047619047619,0.9411764705882353,0.8421052631578947,17.0
5,0.7777777777777778,0.8235294117647058,0.7999999999999999,17.0
6,0.47058823529411764,0.47058823529411764,0.47058823529411764,17.0
accuracy,0.6440677966101694,0.6440677966101694,0.6440677966101694,0.6440677966101694
macro avg,0.6327554098562501,0.645483193277311,0.6357323790760322,118.0
weighted avg,0.6319972165311148,0.6440677966101694,0.6346393832855499,118.0
