,precision,recall,f1-score,support
0,0.7153846153846154,0.8773584905660378,0.7881355932203389,212.0
2,0.0,0.0,0.0,7.0
3,0.42857142857142855,0.075,0.1276595744680851,40.0
4,0.6850393700787402,0.8446601941747572,0.7565217391304347,206.0
5,0.6285714285714286,0.4888888888888889,0.5499999999999999,90.0
6,0.6666666666666666,0.13333333333333333,0.2222222222222222,45.0
accuracy,0.6883333333333334,0.6883333333333334,0.6883333333333334,0.6883333333333334
macro avg,0.5207055848788132,0.4032068178271695,0.4074231881735135,600.0
weighted avg,0.6608232240200743,0.6883333333333334,0.645891011670508,600.0
