,precision,recall,f1-score,support
0,0.7543103448275862,0.875,0.8101851851851851,200.0
1,0.7368421052631579,0.63,0.6792452830188679,200.0
2,0.8307692307692308,0.81,0.820253164556962,200.0
3,0.7130044843049327,0.795,0.75177304964539,200.0
4,0.8042553191489362,0.945,0.8689655172413794,200.0
5,0.8709677419354839,0.675,0.7605633802816901,200.0
6,0.783068783068783,0.74,0.7609254498714654,200.0
accuracy,0.7814285714285715,0.7814285714285715,0.7814285714285715,0.7814285714285715
macro avg,0.7847454299025872,0.7814285714285714,0.7788444328287057,1400.0
weighted avg,0.7847454299025872,0.7814285714285715,0.7788444328287057,1400.0
