,precision,recall,f1-score,support
0,0.9447236180904522,0.94,0.9423558897243106,200.0
1,0.9171270718232044,0.83,0.8713910761154855,200.0
2,0.934010152284264,0.92,0.9269521410579346,200.0
3,0.9024390243902439,0.925,0.9135802469135802,200.0
4,0.9245283018867925,0.98,0.9514563106796116,200.0
5,0.9358288770053476,0.875,0.9043927648578811,200.0
6,0.8447488584474886,0.925,0.883054892601432,200.0
accuracy,0.9135714285714286,0.9135714285714286,0.9135714285714286,0.9135714285714286
macro avg,0.9147722719896846,0.9135714285714286,0.913311903135748,1400.0
weighted avg,0.9147722719896847,0.9135714285714286,0.913311903135748,1400.0
