,precision,recall,f1-score,support
0,0.7647058823529411,0.8125,0.787878787878788,16.0
1,0.5789473684210527,0.6470588235294118,0.6111111111111113,17.0
2,0.5555555555555556,0.29411764705882354,0.3846153846153846,17.0
3,0.5882352941176471,0.5882352941176471,0.5882352941176471,17.0
4,0.7619047619047619,0.9411764705882353,0.8421052631578947,17.0
5,0.8333333333333334,0.8823529411764706,0.8571428571428571,17.0
6,0.5294117647058824,0.5294117647058824,0.5294117647058824,17.0
accuracy,0.6694915254237288,0.6694915254237288,0.6694915254237288,0.6694915254237288
macro avg,0.6588705657701677,0.6706932773109244,0.6572143518185093,118.0
weighted avg,0.657973656307602,0.6694915254237288,0.6561070260891849,118.0
