,precision,recall,f1-score,support
0,0.8518518518518519,0.8846153846153846,0.8679245283018868,26.0
1,1.0,0.8888888888888888,0.9411764705882353,9.0
2,0.9166666666666666,0.7857142857142857,0.8461538461538461,14.0
3,0.7058823529411765,0.8571428571428571,0.7741935483870968,14.0
4,0.8666666666666667,0.8125,0.8387096774193549,16.0
5,1.0,1.0,1.0,12.0
8,0.8125,0.8125,0.8125,16.0
accuracy,0.8598130841121495,0.8598130841121495,0.8598130841121495,0.8598130841121495
macro avg,0.8790810768751945,0.8630516309087738,0.8686654386929172,107.0
weighted avg,0.8666401970964918,0.8598130841121495,0.8611293862937014,107.0
