,precision,recall,f1-score,support
0,0.8235294117647058,0.875,0.8484848484848485,16.0
1,0.5882352941176471,0.5882352941176471,0.5882352941176471,17.0
2,0.6875,0.6470588235294118,0.6666666666666667,17.0
3,0.7222222222222222,0.7647058823529411,0.7428571428571428,17.0
4,0.75,0.8823529411764706,0.8108108108108107,17.0
5,0.9333333333333333,0.8235294117647058,0.8749999999999999,17.0
6,0.5333333333333333,0.47058823529411764,0.5,17.0
accuracy,0.7203389830508474,0.7203389830508474,0.7203389830508474,0.7203389830508474
macro avg,0.7197362278244631,0.7216386554621849,0.7188649661338736,118.0
weighted avg,0.7188566245707322,0.7203389830508474,0.7177664925546281,118.0
