,precision,recall,f1-score,support
0,0.75,0.8076923076923077,0.7777777777777779,26.0
1,0.7,0.7777777777777778,0.7368421052631577,9.0
2,0.8333333333333334,0.7142857142857143,0.7692307692307692,14.0
3,0.5833333333333334,0.5,0.5384615384615384,14.0
4,0.8,0.75,0.7741935483870969,16.0
5,1.0,1.0,1.0,12.0
8,0.7222222222222222,0.8125,0.7647058823529411,16.0
accuracy,0.7663551401869159,0.7663551401869159,0.7663551401869159,0.7663551401869159
macro avg,0.7698412698412699,0.7660365428222572,0.765887374496183,107.0
weighted avg,0.766251298026999,0.7663551401869159,0.7643353679357342,107.0
